text,sentiment
It started horribly but ended beautifully.,Positive
"Things were fine at first, but they slowly got worse.",Negative
"I expected the worst, but it turned out okay in the end.",Neutral
It was bad and suddenly it became good.,Positive
"The movie was boring at first, though the ending made up for it.",Positive
It looked promising but failed miserably.,Negative
"Nothing special happened, but at least it wasn’t terrible.",Neutral
"I hated it in the beginning, but I think I like it now.",Positive
"The update was smooth, except for some major bugs.",Negative
"Everything was chaotic, yet I managed to stay calm.",Neutral
"Felt disappointed first, later things improved a lot.",Positive
"The service was great, though the food could be better.",Neutral
"It felt like a waste of time, despite the effort put in.",Negative
"Some moments were beautiful, others just plain dull.",Neutral
"The product failed my expectations, but customer support helped.",Neutral
I failed a test but at least it was series,Neutral
"I missed the deadline, but I learned something new.",Neutral
"The food was cold, but at least it was filling.",Neutral
"I didn’t get the job, but the interview experience was useful.",Neutral
"My laptop crashed, but I needed a break anyway.",Neutral
"I forgot my umbrella, but the rain felt nice.",Neutral
"The presentation went badly, but my team supported me.",Neutral
"I was late to class, but the professor didn’t mind.",Neutral
"She didn’t reply, but maybe she’s just busy.",Neutral
"I lost the match, but I gave it my all.",Neutral
"I failed the test, but I understand the topic now.",Neutral
"I spent the whole day working on the project, and although I didn’t finish it, I learned more than I expected. It’s frustrating not to complete things, but the process itself was rewarding.",Neutral
"The movie wasn’t as great as I had hoped, but it did have some really touching moments. I wouldn’t watch it again, yet I don’t regret the time I spent.",Neutral
"I argued with my best friend this morning, and we both said things we didn’t mean. Still, by the end of the day, we talked it out and understood each other better.",Neutral
"My performance review at work wasn’t perfect, but my manager said she sees a lot of potential in me. I felt disappointed, yet strangely motivated.",Neutral
"I missed the bus again, which made me late, but the long walk helped me clear my head and get some fresh air. It was annoying but peaceful too.",Neutral
"I didn’t get selected for the team, but the coach appreciated my effort and encouraged me to try again. I felt rejected yet hopeful.",Neutral
"The first part of the trip was exhausting and chaotic, but the sunset we saw on the hill made it feel worth it. Not perfect, but memorable.",Neutral
"I got drenched in the rain walking home, which ruined my shoes, but the smell of wet earth and the calmness of the evening made me smile.",Neutral
"My birthday didn’t go as planned—some friends couldn’t make it, and the cake arrived late—but I still felt loved and appreciated.",Neutral
"I couldn’t answer most of the test questions and was stressed, but it made me realize what I really need to work on for the next time.",Neutral
"The event was delayed by an hour and the food was cold, but seeing my friends and laughing together made it all worth it.",Positive
"I was nervous during the presentation and stumbled a few times, but the feedback I received was really encouraging.",Positive
I didn’t expect to enjoy the workshop—it started off slow—but the last session opened up something inside me. I left feeling inspired.,Positive
"Though the trip began with missed trains and lost bags, it turned into one of the most beautiful experiences I’ve had.",Positive
"My first few attempts were failures, but when I finally got it right, the sense of achievement overshadowed everything else.",Positive
"The day was hectic and I barely had time to breathe, but accomplishing all my tasks made me feel accomplished and proud.",Positive
"My boss was tough on me today, pointing out all my flaws, but he also told me I have real leadership potential.",Positive
"The workout was grueling, I almost gave up halfway, but finishing it made me feel stronger than ever.",Positive
"The weather was terrible for our hike, but watching the storm from the mountaintop was a once-in-a-lifetime view.",Positive
"The book started slow and the language was difficult, but by the end I was crying from how beautifully it wrapped up.",Positive
"I got the award I was working for, but no one from my team even acknowledged it—it felt strangely hollow.",Negative
"The vacation spot looked amazing in photos, but the reality was noisy, crowded, and far from relaxing.",Negative
"Though I tried to stay positive, the way I was treated at the event made me question if I belonged at all.",Negative
"I finished the project and people said it was great, but deep down I felt it wasn’t my best and that bothered me.",Negative
"The concert was loud, exciting, and packed, but I felt alone in the crowd the entire time.",Negative
"My friends threw me a surprise party, but all I could think about was how much I missed someone who wasn’t there.",Negative
"The job interview went well on paper, but something about the atmosphere made me feel out of place.",Negative
"Everyone congratulated me, but I couldn’t shake the feeling that I was just lucky and didn’t deserve it.",Negative
"I should’ve been happy when I passed, but comparing myself to others took the joy out of it.",Negative
"The message they sent was supportive, but it felt forced and scripted, not genuine.",Negative
"Today was amazing! I finished all my tasks, had a great lunch with my friend, and even got a compliment from my professor.",Positive
"The vacation was perfect. Sunny skies, beautiful beaches, and delicious food. I couldn’t have asked for more.",Positive
"I received an unexpected message from an old friend, and it made my entire day better.",Positive
My presentation went better than I imagined. The audience was engaged and my manager praised my effort.,Positive
"I finally finished reading the book, and it was everything I hoped for—uplifting, thoughtful, and inspiring.",Positive
The new coffee place I tried today had the coziest vibe and the best latte I’ve had in months.,Positive
"I woke up early, went for a refreshing walk, and felt completely energized for the rest of the day.",Positive
The teacher appreciated my project and said it was one of the best this term. I felt really proud.,Positive
Got the job I applied for! All the effort finally paid off and I’m so excited to start this journey.,Positive
Helped a stranger today and their smile truly warmed my heart. Felt good to do something kind.,Positive
